ID,name,link,summit,drop,beginner runs,intermediate runs,advanced runs,expert runs,state
235,Bousquet Ski Area,https://www.onthesnow.com/massachusetts/bousquet-ski-area/ski-resort.html,1875ft,750ft,2,6,5,10,massachusetts
236,Bradford Ski Area,https://www.onthesnow.com/massachusetts/bradford-ski-area/ski-resort.html,1548ft,248ft,2,12,2,0,massachusetts
237,Donner Ski Ranch,https://www.onthesnow.com/california/donner-ski-ranch/ski-resort.html,8012ft,750ft,16,20,11,5,california
238,Four Lakes,https://www.onthesnow.com/illinois/four-lakes/ski-resort.html,500ft,100ft,3,2,2,0,illinois
239,Jack Frost,https://www.onthesnow.com/pennsylvania/jack-frost/ski-resort.html,2000ft,600ft,20,0,0,0,pennsylvania
240,King Pine,https://www.onthesnow.com/new-hampshire/king-pine/ski-resort.html,850ft,350ft,7,5,2,3,new-hampshire
241,Mountain High,https://www.onthesnow.com/california/mountain-high/ski-resort.html,8200ft,1600ft,12,25,20,2,california
242,New Hermon Mountain,https://www.onthesnow.com/maine/new-hermon-mountain/ski-resort.html,450ft,350ft,8,6,6,0,maine
243,Pats Peak,https://www.onthesnow.com/new-hampshire/pats-peak/ski-resort.html,1460ft,770ft,14,6,3,5,new-hampshire
244,Trollhaugen,https://www.onthesnow.com/wisconsin/trollhaugen/ski-resort.html,1200ft,260ft,7,9,8,0,wisconsin
245,Cooper Spur,https://www.onthesnow.com/oregon/cooper-spur/ski-resort.html,4000ft,350ft,4,6,0,0,oregon
246,Blue Hills Ski Area,https://www.onthesnow.com/massachusetts/blue-hills-ski-area/ski-resort.html,635ft,309ft,8,3,5,0,massachusetts
247,Crotched Mountain,https://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html,2066ft,1016ft,6,8,9,0,new-hampshire
248,Buck Hill,https://www.onthesnow.com/minnesota/buck-hill/ski-resort.html,1225ft,309ft,5,5,3,3,minnesota
249,Burke Mountain,https://www.onthesnow.com/vermont/burke-mountain/ski-resort.html,3267ft,2011ft,5,24,16,7,vermont
250,Sugarloaf,https://www.onthesnow.com/maine/sugarloaf/ski-resort.html,4237ft,2820ft,36,52,42,32,maine
251,Swiss Valley,https://www.onthesnow.com/michigan/swiss-valley/ski-resort.html,1200ft,225ft,4,4,3,0,michigan
252,Timber Ridge,https://www.onthesnow.com/michigan/timber-ridge/ski-resort.html,850ft,250ft,6,7,2,0,michigan
253,Titus Mountain,https://www.onthesnow.com/new-york/titus-mountain/ski-resort.html,2025ft,1200ft,17,19,11,3,new-york
254,Willard Mountain,https://www.onthesnow.com/new-york/willard-mountain/ski-resort.html,1415ft,505ft,5,6,5,0,new-york
255,Cascade Mountain,https://www.onthesnow.com/wisconsin/cascade-mountain/ski-resort.html,1280ft,460ft,18,19,0,10,wisconsin
256,Ski Granby Ranch,https://www.onthesnow.com/colorado/ski-granby-ranch/ski-resort.html,9202ft,1000ft,15,15,1,10,colorado
257,The Homestead,https://www.onthesnow.com/michigan/the-homestead/ski-resort.html,900ft,320ft,4,7,4,0,michigan
258,Hogadon Basin,https://www.onthesnow.com/wyoming/hogadon/ski-resort.html,8000ft,640ft,2,8,11,7,wyoming
259,Howelsen Hill,https://www.onthesnow.com/colorado/howelsen-hill/ski-resort.html,7136ft,440ft,3,5,8,0,colorado
